id,capability_id,signal_type,title,description,observed_at
signal-1,capability-1,pilot,Completed cold-water listening trial,Finished a six-week northern validation exercise with maritime operators,2026-03-15T00:00:00.000Z
signal-2,capability-2,pilot,Demonstrated autonomous relay buoy,Showed persistent relay performance through winter sea state testing,2026-02-27T00:00:00.000Z
signal-3,capability-3,partnership,Expanded edge fusion deployment,Announced integration support for distributed Arctic sensor programs,2026-02-20T00:00:00.000Z
signal-4,capability-4,technical_milestone,Released constrained bandwidth orchestration update,Added new prioritization modes for sparse remote links,2026-01-30T00:00:00.000Z
signal-5,capability-5,technical_milestone,Completed winter propulsion bench test,Validated key endurance subsystems for cold maritime use,2025-12-11T00:00:00.000Z
signal-6,capability-6,pilot,Tested ice-edge mapping payload,Collected mapping data during a northern maritime exercise,2026-02-08T00:00:00.000Z
signal-7,capability-7,contract,Won analytics support contract,Selected to support a government monitoring pilot in the north,2026-03-21T00:00:00.000Z
signal-8,capability-8,contract,Installed shoreline radar pilot site,Placed a radar stack at a northern coastal observation location,2026-03-02T00:00:00.000Z
signal-9,capability-9,pilot,Delivered ice movement forecast model pilot,Shared route forecast outputs with a northern operations team,2026-02-14T00:00:00.000Z
signal-10,capability-10,pilot,Deployed long-range relay node,Extended traffic across a remote coastal monitoring corridor,2026-03-04T00:00:00.000Z
signal-11,capability-11,partnership,Expanded SAR analysis partnership,Added Arctic imagery support with a satellite data provider,2026-02-25T00:00:00.000Z
signal-12,capability-12,accelerator,Entered northern mobility program,Joined a field testing program focused on cold mobility,2025-11-19T00:00:00.000Z
signal-13,capability-13,pilot,Ran temporary survey setup demonstration,Showed rapid sensor sled deployment during a winter field event,2026-01-18T00:00:00.000Z
signal-14,capability-14,pilot,Completed passive emitter detection exercise,Detected remote emitters during a maritime monitoring scenario,2026-02-10T00:00:00.000Z
signal-15,capability-15,contract,Selected for disconnected mission software pilot,Will support edge mission workflows at northern sites,2026-03-28T00:00:00.000Z
signal-16,capability-16,technical_milestone,Completed docking pod environmental test,Finished cold-chamber validation on docking hardware subsystems,2025-10-22T00:00:00.000Z
signal-17,capability-17,contract,Expanded satellite monitoring service,Added route risk coverage for more northern maritime corridors,2026-03-10T00:00:00.000Z
signal-18,capability-18,pilot,Deployed EO mast at austere watch site,Ran a remote watch demonstration at a temporary northern location,2026-01-27T00:00:00.000Z
signal-19,capability-19,pilot,Tested portable microgrid in winter field conditions,Powered remote sensing and relay hardware through a multi-day exercise,2026-02-04T00:00:00.000Z
signal-20,capability-20,pilot,Validated mesh radio network in expeditionary site,Maintained local connectivity across a temporary Arctic operating area,2026-03-18T00:00:00.000Z
pilot-signal-kraken-sas-orders-2025,pilot-capability-kraken-katfish-sas,contract,Synthetic aperture sonar and subsea battery orders announced,"Kraken announced purchase orders covering synthetic aperture sonar products and subsea batteries, including defence and commercial customers.",2025-12-02T00:00:00.000Z
