id,source_type,title,url,publisher,published_at
source-1,company_website,Northshore listening trial update,https://example.com/northshore/listening-trial,Northshore Dynamics,2026-03-15T00:00:00.000Z
source-2,company_website,Northshore relay buoy winter demonstration,https://example.com/northshore/relay-buoy,Northshore Dynamics,2026-02-27T00:00:00.000Z
source-3,industry_news,Polar Mesh expands Arctic edge grid support,https://example.com/news/polar-mesh-edge-grid,Maritime Systems News,2026-02-20T00:00:00.000Z
source-4,company_website,Polar Mesh releases bandwidth governor update,https://example.com/polarmesh/bandwidth-governor,Polar Mesh,2026-01-30T00:00:00.000Z
source-5,company_website,Aegir completes winter propulsion benchmark,https://example.com/aegir/scout-benchmark,Aegir Robotics,2025-12-11T00:00:00.000Z
source-6,company_website,Aegir tests ice margin mapper payload,https://example.com/aegir/ice-margin-mapper,Aegir Robotics,2026-02-08T00:00:00.000Z
source-7,government_program,IceThread wins northern monitoring pilot,https://example.com/programs/icethread-pilot,Northern Operations Program,2026-03-21T00:00:00.000Z
source-8,company_website,Boreal installs shoreline radar pilot,https://example.com/boreal/shoreline-radar,Boreal Spectrum,2026-03-02T00:00:00.000Z
source-9,industry_news,Boreal publishes ice drift forecast pilot,https://example.com/news/boreal-ice-drift,Arctic Tech Review,2026-02-14T00:00:00.000Z
source-10,company_website,Aurora deploys longline relay node,https://example.com/aurora-relay/longline,Aurora Relay Systems,2026-03-04T00:00:00.000Z
source-11,company_website,Fjord Cloud expands SAR change monitoring,https://example.com/fjord-cloud/change-lens,Fjord Cloud Imaging,2026-02-25T00:00:00.000Z
source-12,accelerator_announcement,Snowcap joins northern mobility program,https://example.com/programs/snowcap-mobility,Snowcap Autonomous Systems,2025-11-19T00:00:00.000Z
source-13,company_website,Snowcap demonstrates sensor sled deployment,https://example.com/snowcap/sensor-sled,Snowcap Autonomous Systems,2026-01-18T00:00:00.000Z
source-14,company_website,Drift validates passive RF network,https://example.com/drift-signal/passive-rf,Drift Signal Labs,2026-02-10T00:00:00.000Z
source-15,government_program,Tundra Edge selected for mission software pilot,https://example.com/programs/tundra-edge-pilot,Northern Operations Program,2026-03-28T00:00:00.000Z
source-16,company_website,Arctic Current completes docking pod test,https://example.com/arctic-current/docking-pod,Arctic Current Robotics,2025-10-22T00:00:00.000Z
source-17,company_website,Northwatch extends route monitoring service,https://example.com/northwatch/route-monitor,Northwatch Satellite Data,2026-03-10T00:00:00.000Z
source-18,company_website,Coldwater deploys horizon EO mast,https://example.com/coldwater/horizon-mast,Coldwater Optics,2026-01-27T00:00:00.000Z
source-19,company_website,Polar Guardian tests portable microgrid kit,https://example.com/polar-guardian/microgrid-kit,Polar Guardian Energy,2026-02-04T00:00:00.000Z
source-20,company_website,Inlet validates high north mesh radio,https://example.com/inlet-comms/high-north-mesh,Inlet Communications,2026-03-18T00:00:00.000Z
